subject	subject_label	subject_taxon	subject_taxon_label	object	object_label	relation	relation_label	evidence	evidence_label	source	is_defined_by	qualifier
HGNC:10978	SLC24A4	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:24162737|PMID:25778476	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:2937	DMXL1	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:23535033	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:9957	RELN	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002607	is marker for	ECO:0000213|ECO:0000033	traceable author statement|combinatorial evidence used in automatic assertion	PMID:20610758|PMID:20452100	https://data.monarchinitiative.org/ttl/ctd.ttl|https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:983	BCHE	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002607	is marker for	ECO:0000033	traceable author statement	PMID:23022600	https://data.monarchinitiative.org/ttl/ctd.ttl	inferred through variant
NCBIGene:105370706	LOC105370706	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:22881374	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:1659	CD33	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002607	is marker for	ECO:0000213|ECO:0000033	traceable author statement|combinatorial evidence used in automatic assertion	PMID:21460840|PMID:24162737|PMID:18976728|PMID:21460841	https://data.monarchinitiative.org/ttl/ctd.ttl|https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:24154	BMPER	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:24770881	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:16084	LIMS2	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:23535033	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:12782	WNT3	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:25778476	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:613	APOE	NCBITaxon:9606	Homo sapiens	MONDO:0007089	Alzheimer's disease 2	RO:0002607	is marker for	ECO:0000220	sequencing assay evidence	PMID:15326261|PMID:9932938|PMID:14741101|PMID:3922972|PMID:11835377|PMID:2987927|PMID:8618665|PMID:15668424|PMID:8644717|PMID:11940706|PMID:7263700|PMID:15557508|PMID:15184602|PMID:15048896|PMID:11940689|PMID:10213549|PMID:8346443	https://data.monarchinitiative.org/ttl/ctd.ttl|https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:7135	AFF1	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:23535033	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:42758	LINC00423	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:21116278	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:463	AMFR	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002607	is marker for	ECO:0000033	traceable author statement	PMID:22313999	https://data.monarchinitiative.org/ttl/ctd.ttl	inferred through variant
HGNC:11969	TNRC6A	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:23535033	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
NCBIGene:105375328	LOC105375328	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26830138	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:7189	MOBP	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:23535033	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:6091	INSR	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002607	is marker for	ECO:0000033	traceable author statement	PMID:24055495	https://data.monarchinitiative.org/ttl/ctd.ttl	inferred through variant
HGNC:22210	ATXN7L1	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:22881374	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:16496	ACSL6	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:25778476	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:38	ABCA8	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26830138	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:29	ABCA1	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26993346|PMID:21116278	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:16699	SORCS3	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26830138	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:23486	ZCWPW1	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:24162737	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:1442	CALM1	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002607	is marker for	ECO:0000033	traceable author statement	PMID:11470324	https://data.monarchinitiative.org/ttl/ctd.ttl	inferred through variant
HGNC:29069	LRRC37A	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:25778476	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:8591	PAK2	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:21116278	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:30894	UTS2B	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:21116278	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:31440	SH2D4B	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:25778476	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:5381	IDE	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002607	is marker for	ECO:0000033	traceable author statement	PMID:17192785	https://data.monarchinitiative.org/ttl/ctd.ttl	inferred through variant
HGNC:1962	CHRNB2	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002607	is marker for	ECO:0000033	traceable author statement	PMID:17192785	https://data.monarchinitiative.org/ttl/ctd.ttl	inferred through variant
HGNC:12310	TRIP4	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:24162737	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:13842	ZNF320	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:22005930	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:648	ARC	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002607	is marker for	ECO:0000033	traceable author statement	PMID:18503570	https://data.monarchinitiative.org/ttl/ctd.ttl	inferred through variant
HGNC:12722	VSNL1	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002607	is marker for	ECO:0000213|ECO:0000033	traceable author statement|combinatorial evidence used in automatic assertion	PMID:22005930|PMID:25806004	https://data.monarchinitiative.org/ttl/ctd.ttl|https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:21055	MTHFD1L	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:20885792	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:2550	CELF2	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:21379329	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:18410	ZNF292	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:21116278	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:53263	LINC02343	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:23374588	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:239	ADCY8	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:21116278	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:620	APP	NCBITaxon:9606	Homo sapiens	MONDO:0015140	early-onset autosomal dominant Alzheimer disease	RO:0002200	has phenotype	ECO:0000322	imported manually asserted information used in automatic assertion		https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
HGNC:52513	LINC01725	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:20061627	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:1565	ACKR2	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:25340798	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
NCBIGene:730100	LOC730100	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26830138	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
NCBIGene:101927293	LOC101927293	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:25778476	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:18695	ST18	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:23535033	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:20133	FAM181A-AS1	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26830138	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
NCBIGene:105377124	LOC105377124	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:22005931	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:9779	RAB3D	NCBITaxon:9606	Homo sapiens	MONDO:0004975	Alzheimers disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26830138	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
