subject	subject_label	subject_taxon	subject_taxon_label	object	object_label	relation	relation_label	evidence	evidence_label	source	is_defined_by	qualifier
HGNC:10898	SKIV2L	NCBITaxon:9606	Homo sapiens	MONDO:0005150	age-related macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:20861866|PMID:20385819|PMID:26691988|PMID:23455636|PMID:23577725	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:9822	RAD51B	NCBITaxon:9606	Homo sapiens	MONDO:0005150	age-related macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26691988|PMID:23455636	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:11496	SYN3	NCBITaxon:9606	Homo sapiens	MONDO:0005417	wet macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26691988	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:14415	ELOVL4	NCBITaxon:9606	Homo sapiens	MONDO:0019353	Stargardt disease	RO:0002200	has phenotype	ECO:0000322	imported manually asserted information used in automatic assertion		https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
HGNC:3602	FBLN5	NCBITaxon:9606	Homo sapiens	MONDO:0012145	macular degeneration, age-related, 3	RO:0002200	has phenotype	ECO:0000220	sequencing assay evidence	PMID:15269314|PMID:23328402|PMID:21576112	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/ctd.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:20207	B3GLCT	NCBITaxon:9606	Homo sapiens	MONDO:0005150	age-related macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26691988|PMID:23455636	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:19400	PGBD3	NCBITaxon:9606	Homo sapiens	MONDO:0013409	age related macular degeneration 5	RO:0002607	is marker for	ECO:0000220	sequencing assay evidence	PMID:17854076|PMID:16754848	https://data.monarchinitiative.org/ttl/ctd.ttl|https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:28106	TMEM97	NCBITaxon:9606	Homo sapiens	MONDO:0005417	wet macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26691988	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:9966	REST	NCBITaxon:9606	Homo sapiens	MONDO:0005150	age-related macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:21909106	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:6685	LRAT	NCBITaxon:9606	Homo sapiens	MONDO:0009549	severe early-childhood-onset retinal dystrophy	RO:0002200	has phenotype	ECO:0000322	imported manually asserted information used in automatic assertion		https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
HGNC:5394	CFI	NCBITaxon:9606	Homo sapiens	MONDO:0005150	age-related macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:21665990|PMID:26691988|PMID:20385826|PMID:22705344	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:9454	PROM1	NCBITaxon:9606	Homo sapiens	MONDO:0019353	Stargardt disease	RO:0002200	has phenotype	ECO:0000322	imported manually asserted information used in automatic assertion		https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
HGNC:49464	C2-AS1	NCBITaxon:9606	Homo sapiens	MONDO:0014207	age related macular degeneration 14	GENO:0000840	pathogenic_for_condition			PMID:16518403|PMID:16936732	https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:20207	B3GLCT	NCBITaxon:9606	Homo sapiens	MONDO:0005417	wet macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26691988	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:613	APOE	NCBITaxon:9606	Homo sapiens	MONDO:0011285	age related macular degeneration 1	RO:0002607	is marker for	ECO:0000220	sequencing assay evidence		https://data.monarchinitiative.org/ttl/ctd.ttl|https://data.monarchinitiative.org/ttl/omim.ttl	inferred through variant
HGNC:9940	RDH5	NCBITaxon:9606	Homo sapiens	MONDO:0005150	age-related macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26691988	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:1248	C2	NCBITaxon:9606	Homo sapiens	MONDO:0005150	age-related macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:21665990|PMID:20385819|PMID:22705344	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:24668	CFHR5	NCBITaxon:9606	Homo sapiens	MONDO:0005150	age-related macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26691988	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
NCBIGene:654841	LOC654841	NCBITaxon:9606	Homo sapiens	MONDO:0005150	age-related macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26691988	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:18554	PLA2G12A	NCBITaxon:9606	Homo sapiens	MONDO:0005150	age-related macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:20385819	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:4017	FUT6	NCBITaxon:9606	Homo sapiens	MONDO:0005150	age-related macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26691988	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:14335	PLEKHA1	NCBITaxon:9606	Homo sapiens	MONDO:0011285	age related macular degeneration 1	RO:0002607	is marker for				https://data.monarchinitiative.org/ttl/ctd.ttl	inferred through variant
HGNC:9476	HTRA1	NCBITaxon:9606	Homo sapiens	MONDO:0012419	age related macular degeneration 7	RO:0002607	is marker for	ECO:0000220	sequencing assay evidence		https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/ctd.ttl	inferred through variant
HGNC:18001	TOMM40	NCBITaxon:9606	Homo sapiens	MONDO:0005150	age-related macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:23326517|PMID:22694956	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:1869	CETP	NCBITaxon:9606	Homo sapiens	MONDO:0005150	age-related macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26691988|PMID:23455636	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:9454	PROM1	NCBITaxon:9606	Homo sapiens	MONDO:0011370	Stargardt disease 4	RO:0002607	is marker for	ECO:0000220	sequencing assay evidence	PMID:12657606|PMID:18654668|PMID:10205271|PMID:20393116	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/ctd.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
NCBIGene:389641	LOC389641	NCBITaxon:9606	Homo sapiens	MONDO:0005417	wet macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26691988	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
NCBIGene:100528022	BLOC1S1-RDH5	NCBITaxon:9606	Homo sapiens	MONDO:0005417	wet macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26691988	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:18717	ABHD2	NCBITaxon:9606	Homo sapiens	MONDO:0005150	age-related macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:28813576	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:2156	CNN2	NCBITaxon:9606	Homo sapiens	MONDO:0005417	wet macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26691988	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:34	ABCA4	NCBITaxon:9606	Homo sapiens	MONDO:0007932	age related macular degeneration 2	RO:0002607	is marker for	ECO:0000220	sequencing assay evidence	PMID:16103129|PMID:23755871|PMID:11846518	https://data.monarchinitiative.org/ttl/ctd.ttl|https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
NCBIGene:654841	LOC654841	NCBITaxon:9606	Homo sapiens	MONDO:0005417	wet macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26691988	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:2153	CNGB3	NCBITaxon:9606	Homo sapiens	MONDO:0009549	severe early-childhood-onset retinal dystrophy	RO:0002200	has phenotype	ECO:0000220	sequencing assay evidence	PMID:15712225|PMID:10888875|PMID:17265047|PMID:10958649|PMID:1347967	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/ctd.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
NCBIGene:101928635	LOC101928635	NCBITaxon:9606	Homo sapiens	MONDO:0005150	age-related macular degeneration	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:21665990|PMID:26691988|PMID:20385826|PMID:23455636	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
