subject	subject_label	subject_taxon	subject_taxon_label	object	object_label	relation	relation_label	evidence	evidence_label	source	is_defined_by	qualifier
HGNC:7127	MLH1	NCBITaxon:9606	Homo sapiens	HP:0003002	Breast carcinoma	RO:0002200	has phenotype	ECO:0000501|ECO:0000304|ECO:0000246|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion|evidence used in automatic assertion|sequencing assay evidence|traceable author statement used in manual assertion	PMID:11385712|PMID:10575566|PMID:8751876|PMID:8198129|PMID:20186516|PMID:16283884|PMID:4063166|PMID:11036284|PMID:7705822	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:9644	PTPN11	NCBITaxon:9606	Homo sapiens	HP:0003002	Breast carcinoma	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:15561812|PMID:8641400|PMID:26619011|PMID:20026017|PMID:9328449|PMID:8820798|PMID:21700551|PMID:286640|PMID:12094255|PMID:3472356|PMID:3841047	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:29170	FAN1	NCBITaxon:9606	Homo sapiens	HP:0003002	Breast carcinoma	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:11385712|PMID:10575566|PMID:20186516|PMID:16283884|PMID:11036284	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
HGNC:28519	C11orf65	NCBITaxon:9606	Homo sapiens	HP:0003002	Breast carcinoma	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:11950848|PMID:11410879|PMID:10362113|PMID:16112413|PMID:11429421	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:583	APC	NCBITaxon:9606	Homo sapiens	HP:0003002	Breast carcinoma	RO:0002200	has phenotype	ECO:0000246|ECO:0000220	computational combinatorial evidence used in automatic assertion|sequencing assay evidence	PMID:9513361|PMID:9171795|PMID:3930901|PMID:1317264|PMID:20460403|PMID:15604094|PMID:11466687|PMID:21042734|PMID:18727274|PMID:17917139|PMID:3122668|PMID:7750813	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:10683	SDHD	NCBITaxon:9606	Homo sapiens	HP:0003002	Breast carcinoma	RO:0002200	has phenotype	ECO:0000304|ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion|traceable author statement used in manual assertion	PMID:11950848|PMID:9509273|PMID:23781627|PMID:9288766|PMID:7712647	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
HGNC:903	AXIN1	NCBITaxon:9606	Homo sapiens	HP:0003002	Breast carcinoma	RO:0002200	has phenotype	ECO:0000246|ECO:0000220	computational combinatorial evidence used in automatic assertion|sequencing assay evidence	PMID:9171795|PMID:20460403|PMID:15604094|PMID:18727274|PMID:7750813|PMID:10700176	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:10477	RXRA	NCBITaxon:9606	Homo sapiens	HP:0003002	Breast carcinoma	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:9171795|PMID:26619011|PMID:20460403|PMID:15604094|PMID:18727274|PMID:7750813	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:3765	FLT3	NCBITaxon:9606	Homo sapiens	HP:0003002	Breast carcinoma	RO:0002200	has phenotype	ECO:0000246|ECO:0000220	computational combinatorial evidence used in automatic assertion|sequencing assay evidence	PMID:20026017|PMID:22504186|PMID:23783394|PMID:11290608|PMID:8820798|PMID:23714533|PMID:16410449|PMID:15374878|PMID:17047150|PMID:12384447|PMID:22504184|PMID:22504185|PMID:17889720|PMID:25157968|PMID:22504183|PMID:15667533|PMID:19840437|PMID:16091740|PMID:23321257|PMID:15863200|PMID:23261068|PMID:3472356|PMID:16573742|PMID:19657110|PMID:14737077|PMID:15625552|PMID:286640|PMID:11442493|PMID:16990784|PMID:14670924|PMID:17606455|PMID:15256420|PMID:23878140|PMID:24619500|PMID:23430109|PMID:16857985|PMID:20733134|PMID:14604974|PMID:12094255|PMID:16371029|PMID:24046014|PMID:22368270	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:7427	MT-CYB	NCBITaxon:9606	Homo sapiens	HP:0003002	Breast carcinoma	RO:0002200	has phenotype	ECO:0000501|ECO:0000246	computational combinatorial evidence used in automatic assertion|evidence used in automatic assertion	PMID:15172753|PMID:9009164|PMID:20186516|PMID:14959510|PMID:21042713	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:1509	CASP8	NCBITaxon:9606	Homo sapiens	HP:0003002	Breast carcinoma	RO:0002200	has phenotype	ECO:0000246|ECO:0000220	computational combinatorial evidence used in automatic assertion|sequencing assay evidence	PMID:9171795|PMID:20460403|PMID:15604094|PMID:15531912|PMID:18727274|PMID:7750813	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:9884	RB1	NCBITaxon:9606	Homo sapiens	HP:0003002	Breast carcinoma	RO:0002200	has phenotype	ECO:0000246|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion|sequencing assay evidence	PMID:21128554|PMID:6742274|PMID:17562045|PMID:8418305|PMID:10486322|PMID:2307471|PMID:9671401|PMID:22328814|PMID:19190907|PMID:2601691|PMID:25157968|PMID:12541220|PMID:20664703|PMID:7795591|PMID:25754945|PMID:16631255|PMID:9341870|PMID:11943719|PMID:19383312|PMID:12016586|PMID:2594029|PMID:16985050|PMID:7704558|PMID:6966182|PMID:17299438|PMID:16988938|PMID:8123473|PMID:1352883|PMID:10754438|PMID:19170174|PMID:7881418|PMID:18677488	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:7125	MLF1	NCBITaxon:9606	Homo sapiens	HP:0003002	Breast carcinoma	RO:0002200	has phenotype	ECO:0000246|ECO:0000306	computational combinatorial evidence used in automatic assertion|inference from background scientific knowledge used in manual assertion	PMID:20026017|PMID:8820798|PMID:286640|PMID:12094255|PMID:3472356	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl	inferred through variant
HGNC:2514	CTNNB1	NCBITaxon:9606	Homo sapiens	HP:0003002	Breast carcinoma	RO:0002200	has phenotype	ECO:0000501|ECO:0000246|ECO:0000220	computational combinatorial evidence used in automatic assertion|evidence used in automatic assertion|sequencing assay evidence	PMID:9513361|PMID:26619011|PMID:3930901|PMID:20460403|PMID:20186516|PMID:21042734|PMID:10435629|PMID:25157968|PMID:21042713|PMID:9171795|PMID:15172753|PMID:9009164|PMID:15604094|PMID:18727274|PMID:17917139|PMID:3122668|PMID:10391090|PMID:7750813|PMID:14959510	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:2899	DLEC1	NCBITaxon:9606	Homo sapiens	HP:0003002	Breast carcinoma	RO:0002200	has phenotype	ECO:0000246|ECO:0000306	computational combinatorial evidence used in automatic assertion|inference from background scientific knowledge used in manual assertion	PMID:6264750|PMID:16282710|PMID:22426967|PMID:17380009|PMID:8541109	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl	inferred through variant
