subject	subject_label	subject_taxon	subject_taxon_label	object	object_label	relation	relation_label	evidence	evidence_label	source	is_defined_by	qualifier
HGNC:118	ACO2	NCBITaxon:9606	Homo sapiens	MONDO:0005011	Crohn's disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26192919	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:16841	LITAF	NCBITaxon:9606	Homo sapiens	MONDO:0005011	Crohn's disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26192919	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:11364	STAT3	NCBITaxon:9606	Homo sapiens	MONDO:0005011	Crohn's disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:23266558|PMID:18587394|PMID:26192919|PMID:28067908	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:9652	PTPN22	NCBITaxon:9606	Homo sapiens	MONDO:0005011	Crohn's disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:18587394|PMID:26192919|PMID:21102463	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
NCBIGene:105376878	LOC105376878	NCBITaxon:9606	Homo sapiens	MONDO:0005011	Crohn's disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:23266558	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:15948	ZGPAT	NCBITaxon:9606	Homo sapiens	MONDO:0005011	Crohn's disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26192919|PMID:21102463	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:14062	IGF2-AS	NCBITaxon:9606	Homo sapiens	MONDO:0005011	Crohn's disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26301688	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:31452	LURAP1L	NCBITaxon:9606	Homo sapiens	MONDO:0005011	Crohn's disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26301688	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:6149	ITGAM	NCBITaxon:9606	Homo sapiens	MONDO:0000709	ileitis	RO:0002607	is marker for	ECO:0000033	traceable author statement	PMID:10647630	https://data.monarchinitiative.org/ttl/ctd.ttl	inferred through variant
HGNC:10555	ATXN2	NCBITaxon:9606	Homo sapiens	MONDO:0005011	Crohn's disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26192919|PMID:28067908	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:4196	GCKR	NCBITaxon:9606	Homo sapiens	MONDO:0005011	Crohn's disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26192919|PMID:28067908|PMID:21102463	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:4492	GPR35	NCBITaxon:9606	Homo sapiens	MONDO:0005011	Crohn's disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26301688|PMID:26192919	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:25681	ANKRD55	NCBITaxon:9606	Homo sapiens	MONDO:0005011	Crohn's disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26301688|PMID:26192919|PMID:23128233|PMID:28067908	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:11460	SUOX	NCBITaxon:9606	Homo sapiens	MONDO:0005011	Crohn's disease	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26301688	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
