subject	subject_label	subject_taxon	subject_taxon_label	object	object_label	relation	relation_label	evidence	evidence_label	source	is_defined_by	qualifier
HGNC:12791	WRN	NCBITaxon:9606	Homo sapiens	HP:0000822	Hypertension	RO:0002200	has phenotype	ECO:0000304|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|sequencing assay evidence|traceable author statement used in manual assertion	PMID:9048918|PMID:9450180|PMID:8602509|PMID:16673358|PMID:8968742|PMID:10628995|PMID:22188495|PMID:18810497|PMID:12827497	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl|https://data.monarchinitiative.org/ttl/coriell.ttl	inferred through variant
HGNC:5394	CFI	NCBITaxon:9606	Homo sapiens	HP:0000822	Hypertension	RO:0002200	has phenotype	ECO:0000501|ECO:0000322	imported manually asserted information used in automatic assertion|evidence used in automatic assertion	PMID:20203157|PMID:20513133|PMID:16621965|PMID:23685748|PMID:15173250	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:11362	STAT1	NCBITaxon:9606	Homo sapiens	HP:0002092	Pulmonary arterial hypertension	RO:0002200	has phenotype	ECO:0000304|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|sequencing assay evidence|traceable author statement used in manual assertion	PMID:21714643|PMID:22195034|PMID:23709754|PMID:23534974|PMID:25288569|PMID:23541320|PMID:21727188	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:1839	ADA2	NCBITaxon:9606	Homo sapiens	HP:0002092	Pulmonary arterial hypertension	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:15529584|PMID:18622502|PMID:19557216|PMID:2974981|PMID:20534096	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:4888	CFHR1	NCBITaxon:9606	Homo sapiens	HP:0000822	Hypertension	RO:0002200	has phenotype	ECO:0000501	evidence used in automatic assertion		https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:2348	CREBBP	NCBITaxon:9606	Homo sapiens	HP:0001409	Portal hypertension	RO:0002200	has phenotype	ECO:0000304|ECO:0000246	computational combinatorial evidence used in automatic assertion|traceable author statement used in manual assertion	PMID:26619011|PMID:12423268|PMID:17878703|PMID:11204813|PMID:12472976|PMID:8648061	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:49185	SPECC1L-ADORA2A	NCBITaxon:9606	Homo sapiens	HP:0002092	Pulmonary arterial hypertension	RO:0002200	has phenotype	ECO:0000501	evidence used in automatic assertion	PMID:25412741|PMID:3228142	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:4392	GNAS	NCBITaxon:9606	Homo sapiens	HP:0001409	Portal hypertension	RO:0002200	has phenotype	ECO:0000304|ECO:0000246	computational combinatorial evidence used in automatic assertion|traceable author statement used in manual assertion	PMID:26619011|PMID:12423268|PMID:17878703|PMID:11204813|PMID:12472976|PMID:8648061	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
MGI:98090	Pdc	NCBITaxon:10090	Mus musculus	HP:0000822	Hypertension	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:19959875	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:5959	ELP1	NCBITaxon:9606	Homo sapiens	HP:0000822	Hypertension	RO:0002200	has phenotype	ECO:0000501|ECO:0000304|ECO:0000246|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion|evidence used in automatic assertion|sequencing assay evidence|traceable author statement used in manual assertion	PMID:17985250|PMID:11179008|PMID:12420084|PMID:16964593|PMID:12116234|PMID:12687659|PMID:8690848|PMID:11179021|PMID:20558564|PMID:10090896|PMID:12725643	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl|https://data.monarchinitiative.org/ttl/coriell.ttl	inferred through variant
HGNC:30935	YY1AP1	NCBITaxon:9606	Homo sapiens	HP:0100817	Renovascular hypertension	RO:0002200	has phenotype	ECO:0000501|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|evidence used in automatic assertion|sequencing assay evidence	PMID:27939641|PMID:9489789|PMID:11241488|PMID:16691574	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
MGI:1349451	Corin	NCBITaxon:10090	Mus musculus	MP:0004217	salt-sensitive hypertension	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:15637153	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:2591	CYP11B1	NCBITaxon:9606	Homo sapiens	HP:0000822	Hypertension	RO:0002200	has phenotype	ECO:0000501|ECO:0000304|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|evidence used in automatic assertion|sequencing assay evidence|traceable author statement used in manual assertion	PMID:11095433|PMID:16670167|PMID:2022736|PMID:7049883|PMID:7903314|PMID:9302260|PMID:11549691|PMID:16030166|PMID:15324322|PMID:1430088|PMID:1731223	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:4878	HEXA	NCBITaxon:9606	Homo sapiens	HP:0000822	Hypertension	RO:0002200	has phenotype	ECO:0000501|ECO:0000304|ECO:0000246	computational combinatorial evidence used in automatic assertion|evidence used in automatic assertion|traceable author statement used in manual assertion	PMID:17985250|PMID:12420084|PMID:8690848|PMID:20558564|PMID:12725643	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/coriell.ttl	inferred
HGNC:2201	COL3A1	NCBITaxon:9606	Homo sapiens	HP:0100817	Renovascular hypertension	RO:0002200	has phenotype	ECO:0000304|ECO:0000322	imported manually asserted information used in automatic assertion|traceable author statement used in manual assertion		https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
HGNC:914	B2M	NCBITaxon:9606	Homo sapiens	HP:0000822	Hypertension	RO:0002200	has phenotype	ECO:0000269	experimental evidence used in manual assertion	PMID:22693999|PMID:8113408	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:1550	CBS	NCBITaxon:9606	Homo sapiens	HP:0000822	Hypertension	RO:0002200	has phenotype	ECO:0000304|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|sequencing assay evidence|traceable author statement used in manual assertion	PMID:21517828|PMID:19914636|PMID:20490928|PMID:16786517|PMID:10408774|PMID:12828591|PMID:7762555|PMID:17540596|PMID:9587029|PMID:11343305|PMID:8353501|PMID:11359213|PMID:8755636|PMID:20506325|PMID:9361025|PMID:12815602|PMID:10215408|PMID:16205833|PMID:16245937|PMID:21030686|PMID:25218699|PMID:14635102|PMID:9889017|PMID:7506602|PMID:16479318|PMID:22612060|PMID:22977242|PMID:19819175|PMID:7967489|PMID:1301198|PMID:15146473|PMID:24211323|PMID:22267502|PMID:16470595|PMID:22069143|PMID:10687314|PMID:23592311|PMID:12269827|PMID:18805305|PMID:20455263|PMID:12552044|PMID:9870207|PMID:9590298|PMID:9232191|PMID:19370759|PMID:14722927|PMID:9156316|PMID:21520339|PMID:24613005|PMID:17069888|PMID:20871414|PMID:8803779|PMID:12007221|PMID:26464485|PMID:20308073|PMID:25331909|PMID:15365998|PMID:7611293|PMID:12124992|PMID:12686134|PMID:22985361|PMID:20694756|PMID:7981678|PMID:16307898|PMID:14972327|PMID:10364517|PMID:6711564|PMID:23974653|PMID:20066033|PMID:17352495|PMID:18280597|PMID:16429402|PMID:10338090	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:1540	SERPINA6	NCBITaxon:9606	Homo sapiens	HP:0000822	Hypertension	RO:0002200	has phenotype	ECO:0000501|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|evidence used in automatic assertion|sequencing assay evidence	PMID:11502797|PMID:10634411|PMID:7061486|PMID:8212073|PMID:12780753|PMID:17245537	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:1037	CFB	NCBITaxon:9606	Homo sapiens	HP:0000822	Hypertension	RO:0002200	has phenotype	ECO:0000501|ECO:0000322	imported manually asserted information used in automatic assertion|evidence used in automatic assertion	PMID:7452889|PMID:17182750|PMID:15661753	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
