subject	subject_label	subject_taxon	subject_taxon_label	object	object_label	relation	relation_label	evidence	evidence_label	source	is_defined_by	qualifier
HGNC:11571	TARDBP	NCBITaxon:9606	Homo sapiens	HP:0001300	Parkinsonism	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:19365373|PMID:10846017|PMID:19254284|PMID:8282074|PMID:19906638	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
HGNC:25186	TMEM240	NCBITaxon:9606	Homo sapiens	HP:0001300	Parkinsonism	RO:0002200	has phenotype	ECO:0000501|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|evidence used in automatic assertion|sequencing assay evidence	PMID:25070513|PMID:11160961	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:8804	PDGFRB	NCBITaxon:9606	Homo sapiens	HP:0001300	Parkinsonism	RO:0002200	has phenotype	ECO:0000501|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|evidence used in automatic assertion|sequencing assay evidence	PMID:23255827	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:2605	CYP27A1	NCBITaxon:9606	Homo sapiens	HP:0001300	Parkinsonism	RO:0002200	has phenotype	ECO:0000246|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion|sequencing assay evidence	PMID:24174808|PMID:11181744|PMID:23124517|PMID:8931710|PMID:22527785|PMID:22849591|PMID:23659550|PMID:9790667|PMID:16816916|PMID:8014582|PMID:23287330|PMID:26906304|PMID:25983621|PMID:18458861|PMID:7915755|PMID:18227423|PMID:21645175|PMID:24627108|PMID:17697869|PMID:23212406|PMID:12000359|PMID:12555943|PMID:26156051|PMID:26937392|PMID:9521761|PMID:10519880|PMID:2019602|PMID:20108380|PMID:11137513|PMID:16278884|PMID:24746394|PMID:8514861|PMID:9186905|PMID:10775536|PMID:24080357	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:11782	TH	NCBITaxon:9606	Homo sapiens	HP:0002548	Parkinsonism with favorable response to dopaminergic medication	RO:0002200	has phenotype	ECO:0000304|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|sequencing assay evidence|traceable author statement used in manual assertion	PMID:10407773|PMID:8817341|PMID:11160968|PMID:9732974|PMID:11281275|PMID:20430833|PMID:11246459|PMID:17696123|PMID:9235905|PMID:7814018|PMID:23480488|PMID:8528210|PMID:15505183|PMID:20823027|PMID:24753243|PMID:22264700|PMID:10585338|PMID:27185167|PMID:20198643|PMID:9703425	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:30213	ATP13A2	NCBITaxon:9606	Homo sapiens	HP:0001300	Parkinsonism	RO:0002200	has phenotype	ECO:0000501|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|evidence used in automatic assertion|sequencing assay evidence	PMID:495089|PMID:22442086|PMID:27217339|PMID:26633545|PMID:20310007|PMID:20853184|PMID:16964263|PMID:21094623|PMID:28137957|PMID:22388936|PMID:17485642|PMID:21724849	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:14372	SCYL1	NCBITaxon:9606	Homo sapiens	HP:0001300	Parkinsonism	RO:0002200	has phenotype	ECO:0000501	evidence used in automatic assertion	PMID:26581903	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:30343	DNAJC13	NCBITaxon:9606	Homo sapiens	HP:0001300	Parkinsonism	RO:0002200	has phenotype	ECO:0000501	evidence used in automatic assertion	PMID:24218364	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:11138	SNCA	NCBITaxon:9606	Homo sapiens	HP:0001300	Parkinsonism	RO:0002200	has phenotype	ECO:0000501|ECO:0000304|ECO:0000246|ECO:0000220	computational combinatorial evidence used in automatic assertion|evidence used in automatic assertion|sequencing assay evidence|traceable author statement used in manual assertion	PMID:9462735|PMID:18195271|PMID:15159488|PMID:14593171|PMID:11261505|PMID:23427326|PMID:19356597|PMID:11376188|PMID:18704525|PMID:17625105|PMID:17251522|PMID:10417297|PMID:9197268|PMID:24936070|PMID:14755720|PMID:16358335|PMID:8285594|PMID:20437567|PMID:20340137|PMID:17489854|PMID:15964748|PMID:20175186|PMID:15498564|PMID:22205345|PMID:19632874|PMID:18852445|PMID:9827625|PMID:18852449|PMID:24158909|PMID:18852448|PMID:24158904|PMID:15632170|PMID:21813140|PMID:15451224|PMID:15451225|PMID:9506559|PMID:9499430|PMID:14755719|PMID:23526723	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl|https://data.monarchinitiative.org/ttl/coriell.ttl	inferred through variant
HGNC:13487	VPS35	NCBITaxon:9606	Homo sapiens	HP:0001300	Parkinsonism	RO:0002200	has phenotype	ECO:0000501	evidence used in automatic assertion	PMID:18342564|PMID:22801713|PMID:22991136|PMID:21763483|PMID:22517097	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
