subject	subject_label	subject_taxon	subject_taxon_label	object	object_label	relation	relation_label	evidence	evidence_label	source	is_defined_by	qualifier
HGNC:7989	NRAS	NCBITaxon:9606	Homo sapiens	HP:0001370	Rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:26619011|PMID:1525326|PMID:2941196|PMID:8681032|PMID:8620298|PMID:8440074	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:12405	TTR	NCBITaxon:9606	Homo sapiens	HP:0001370	Rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000246|ECO:0000220	computational combinatorial evidence used in automatic assertion|sequencing assay evidence	PMID:12017855|PMID:22012755|PMID:213353|PMID:8501366|PMID:11892715	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
MGI:96560	Il6st	NCBITaxon:10090	Mus musculus	HP:0001370	Rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:12370259	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:11892	TNF	NCBITaxon:9606	Homo sapiens	HP:0001370	Rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:14681301|PMID:20073422|PMID:11261930|PMID:21062675|PMID:11896460|PMID:16418737|PMID:11506397|PMID:8056188|PMID:10450718|PMID:20374328|PMID:11826025|PMID:12485196|PMID:9818939|PMID:16380751|PMID:14718719|PMID:12746914|PMID:16865291|PMID:10365921	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:18153	TNFRSF13B	NCBITaxon:9606	Homo sapiens	HP:0001370	Rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:11514920|PMID:16211145|PMID:17187316|PMID:19380800|PMID:9527355	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
HGNC:11916	TNFRSF1A	NCBITaxon:9606	Homo sapiens	HP:0001370	Rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:10637672|PMID:8377390|PMID:3383437|PMID:8432561|PMID:3880279	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
MGI:104798	Tnf	NCBITaxon:10090	Mus musculus	HP:0001370	Rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:10204494	https://data.monarchinitiative.org/ttl/mgi_slim.ttl|https://data.monarchinitiative.org/ttl/mgi.ttl|https://data.monarchinitiative.org/ttl/mmrrc.ttl	direct
HGNC:2336	CR2	NCBITaxon:9606	Homo sapiens	HP:0001370	Rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:11514920|PMID:16211145|PMID:17187316|PMID:19380800|PMID:9527355	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
MGI:96055	Ptpn6	NCBITaxon:10090	Mus musculus	HP:0001370	Rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:7840851	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:6998	MEFV	NCBITaxon:9606	Homo sapiens	HP:0005681	Juvenile rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:1589128|PMID:11779767|PMID:10914412|PMID:19644377|PMID:4087814|PMID:9093587|PMID:21461856|PMID:7171185|PMID:9843260|PMID:18576390	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
MGI:1329019	Dnase2a	NCBITaxon:10090	Mus musculus	HP:0001370	Rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:17066036	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:7562	MYD88	NCBITaxon:9606	Homo sapiens	HP:0001370	Rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:26619011|PMID:9324027|PMID:20111873|PMID:1525326|PMID:2941196|PMID:15552523|PMID:8620298|PMID:8681032|PMID:21179087|PMID:15552525|PMID:8440074|PMID:21074639	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:7067	CIITA	NCBITaxon:9606	Homo sapiens	HP:0005681	Juvenile rheumatoid arthritis	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:21833894|PMID:12723199|PMID:16849401|PMID:20217662|PMID:16194737|PMID:12437075|PMID:15821736	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
