subject	subject_label	subject_taxon	subject_taxon_label	object	object_label	relation	relation_label	evidence	evidence_label	source	is_defined_by	qualifier
HGNC:6272	KCNK1	NCBITaxon:9606	Homo sapiens	HP:0002140	Ischemic stroke	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:26718567	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	direct
HGNC:48349	RPL36A-HNRNPH2	NCBITaxon:9606	Homo sapiens	HP:0001297	Stroke	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:7575533|PMID:17532296|PMID:12175777|PMID:8738659|PMID:11828341|PMID:23756194|PMID:20345350|PMID:8878432|PMID:17555407|PMID:11804208|PMID:7911050|PMID:8395937|PMID:2171331|PMID:10666480|PMID:24386359|PMID:2539398|PMID:22963910|PMID:1315715|PMID:12938095|PMID:26415523|PMID:8931708|PMID:7531540|PMID:21598360|PMID:9100224|PMID:19207191|PMID:8996967|PMID:12428061|PMID:19621417|PMID:15776423|PMID:22004918|PMID:20821055|PMID:11531972|PMID:9116979|PMID:23109060|PMID:10838196|PMID:18205205|PMID:22551898|PMID:20031620|PMID:17804462|PMID:11914245|PMID:8834244|PMID:8875188|PMID:1846223|PMID:24582695|PMID:15702404|PMID:8807334|PMID:23537685|PMID:15091117|PMID:21972175|PMID:23568732|PMID:7951217|PMID:19823873|PMID:26297554|PMID:15162124|PMID:23980562|PMID:7504405|PMID:10649504|PMID:15712228|PMID:22773828|PMID:12694230|PMID:11322659|PMID:2152885|PMID:12786754|PMID:9554750|PMID:22820434|PMID:22437327|PMID:16773563|PMID:20505683|PMID:20636371|PMID:11889412|PMID:19387866|PMID:26252393|PMID:23935525	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:12016	TPP2	NCBITaxon:9606	Homo sapiens	HP:0001297	Stroke	RO:0002200	has phenotype	ECO:0000304|ECO:0000322	imported manually asserted information used in automatic assertion|traceable author statement used in manual assertion		https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
HGNC:48839	CAPN10-AS1	NCBITaxon:9606	Homo sapiens	HP:0001297	Stroke	RO:0002200	has phenotype	ECO:0000304	traceable author statement used in manual assertion	PMID:22821680	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:12666	VCP	NCBITaxon:9606	Homo sapiens	HP:0001297	Stroke	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:21941530|PMID:18310808|PMID:20452624|PMID:8282074|PMID:17076808	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
HGNC:9414	PRKG1	NCBITaxon:9606	Homo sapiens	HP:0002326	Transient ischemic attack	RO:0002200	has phenotype	ECO:0000304|ECO:0000322	imported manually asserted information used in automatic assertion|traceable author statement used in manual assertion		https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
HGNC:11133	SNAP29	NCBITaxon:9606	Homo sapiens	HP:0001297	Stroke	RO:0002200	has phenotype	ECO:0000304|ECO:0000322|ECO:0000220	imported manually asserted information used in automatic assertion|sequencing assay evidence|traceable author statement used in manual assertion	PMID:21073448|PMID:15968592	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:7495	MT-TQ	NCBITaxon:9606	Homo sapiens	HP:0001297	Stroke	RO:0002200	has phenotype	ECO:0000246	computational combinatorial evidence used in automatic assertion	PMID:11171912|PMID:9371916|PMID:17400793|PMID:18590986|PMID:17562939|PMID:17199225	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:7455	MT-ND1	NCBITaxon:9606	Homo sapiens	HP:0001297	Stroke	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:9371916|PMID:17400793|PMID:15466014|PMID:18590986|PMID:17562939|PMID:17199225	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
HGNC:1366	ADAMTS13	NCBITaxon:9606	Homo sapiens	HP:0002140	Ischemic stroke	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:28495826	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	direct
