subject	subject_label	subject_taxon	subject_taxon_label	object	object_label	relation	relation_label	evidence	evidence_label	source	is_defined_by	qualifier
HGNC:13941	SLC44A4	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:20526339	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:1508	CASP7	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:22561518|PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
NCBIGene:105369781	LOC105369781	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:22561518|PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:3749	FLI1	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:6119	IRF4	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:27723757	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:21686	RNASET2	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:20526339	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:35163	MIR4435-2HG	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:11764	TG	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:22561518|PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:12478	UBE2E2	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:25969	DEF8	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:20323	SMOC2	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:19890347	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
NCBIGene:107984363	LOC107984363	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:20410501|PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:12442	TYR	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:20410501|PMID:27723757	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:14399	CPVL	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:22564	SPATA48	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:30022	PPARGC1B	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:44114	AP4B1-AS1	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:20410501|PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:10555	ATXN2	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:22561518	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:17438	CLNK	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:22561518	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:3575	FADS2	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:9652	PTPN22	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:20410501|PMID:27723757	https://data.monarchinitiative.org/ttl/omim.ttl|https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:6679	LPP	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:22951725|PMID:20410501|PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:9314	PPP3CA	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:1537	CBFA2T3	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:11365	STAT4	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
HGNC:14343	C1QTNF6	NCBITaxon:9606	Homo sapiens	MONDO:0008661	vitiligo	RO:0002326	contributes to	ECO:0000213	combinatorial evidence used in automatic assertion	PMID:20410501|PMID:27723757	https://data.monarchinitiative.org/ttl/gwascatalog.ttl	inferred through variant
