DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2013-06-21	23502781	Germain M	2013-03-17	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23502781	Genome-wide association analysis identifies a susceptibility locus for pulmonary arterial hypertension.	Pulmonary arterial hypertension (without BMPR2 mutations)	340 European ancestry cases, 1,068 European ancestry controls	285 cases, 457 controls	18q22.3	18	72483704	CBLN2	LOC105372189 - CBLN2	105372189	147381		310839	50016	rs2217560-G	rs2217560	0	2217560	intergenic_variant	1	0.069	7E-10	9.154901959985743		1.97	[1.59-2.45]	Illumina [462499]	N
2017-11-10	29088834	Kimura M	2017-08-24	Oncotarget	www.ncbi.nlm.nih.gov/pubmed/29088834	A genome-wide association analysis identifies PDE1A|DNAJC10 locus on chromosome 2 associated with idiopathic pulmonary arterial hypertension in a Japanese population.	Pulmonary arterial hypertension	23 Japanese ancestry cases, 2,002 Japanese ancestry controls	21 Japanese ancestry cases, 991 Japanese ancestry controls	2q32.1	2	182633113	PDE1A, DNAJC10	PDE1A - LOC101929976	5136	101929976		109738	33437	rs71427857-A	rs71427857	0	71427857	intergenic_variant	1	0.042	8E-9	8.096910013008056		5.759		Illumina [1347690]	N
2013-09-27	23551011	Zhao L	2013-04-02	Ann Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23551011	Genome-wide association study of pre-eclampsia detects novel maternal single nucleotide polymorphisms and copy-number variants in subsets of the Hyperglycemia and Adverse Pregnancy Outcome (HAPO) study cohort.	Preeclampsia	21 Afro-Caribbean cases, 1,010 Afro-Caribbean controls, 50 European ancestry cases, 1,202 European ancestry controls, 62 Hispanic cases, 658 Hispanic controls	NA	13q33.1	13	102027776	FGF14	FGF14			2259			rs11617740-?	rs11617740	0	11617740	intron_variant	0	NR	7E-7	6.154901959985743	(Afro-Caribbean)	16.69	[5.53-51.97]	Illumina [2485249] (imputed)	N
2013-09-27	23551011	Zhao L	2013-04-02	Ann Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23551011	Genome-wide association study of pre-eclampsia detects novel maternal single nucleotide polymorphisms and copy-number variants in subsets of the Hyperglycemia and Adverse Pregnancy Outcome (HAPO) study cohort.	Preeclampsia	21 Afro-Caribbean cases, 1,010 Afro-Caribbean controls, 50 European ancestry cases, 1,202 European ancestry controls, 62 Hispanic cases, 658 Hispanic controls	NA	21q22.3	21	42023389	C21orf121	ZNF295-AS1			150142			rs2839440-?	rs2839440	0	2839440	intron_variant	0	NR	1E-6	6.0	(Afro-Caribbean)	5.31	[2.70-10.42]	Illumina [2485249] (imputed)	N
2013-09-27	23551011	Zhao L	2013-04-02	Ann Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23551011	Genome-wide association study of pre-eclampsia detects novel maternal single nucleotide polymorphisms and copy-number variants in subsets of the Hyperglycemia and Adverse Pregnancy Outcome (HAPO) study cohort.	Preeclampsia	21 Afro-Caribbean cases, 1,010 Afro-Caribbean controls, 50 European ancestry cases, 1,202 European ancestry controls, 62 Hispanic cases, 658 Hispanic controls	NA	4q34.3	4	181688712	MGC45800	TENM3			55714			rs12641856-?	rs12641856	0	12641856	regulatory_region_variant	0	NR	2E-6	5.698970004336019	(Afro-Caribbean)	15.19	[4.98-46.35]	Illumina [2485249] (imputed)	N
2013-09-27	23551011	Zhao L	2013-04-02	Ann Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23551011	Genome-wide association study of pre-eclampsia detects novel maternal single nucleotide polymorphisms and copy-number variants in subsets of the Hyperglycemia and Adverse Pregnancy Outcome (HAPO) study cohort.	Preeclampsia	21 Afro-Caribbean cases, 1,010 Afro-Caribbean controls, 50 European ancestry cases, 1,202 European ancestry controls, 62 Hispanic cases, 658 Hispanic controls	NA	20p12.3	20	5968888	MCM8	MCM8			84515			rs4815879-?	rs4815879	0	4815879	intron_variant	0	NR	2E-6	5.698970004336019	(Afro-Caribbean)	14.57	[4.81-44.17]	Illumina [2485249] (imputed)	N
2013-09-27	23551011	Zhao L	2013-04-02	Ann Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23551011	Genome-wide association study of pre-eclampsia detects novel maternal single nucleotide polymorphisms and copy-number variants in subsets of the Hyperglycemia and Adverse Pregnancy Outcome (HAPO) study cohort.	Preeclampsia	21 Afro-Caribbean cases, 1,010 Afro-Caribbean controls, 50 European ancestry cases, 1,202 European ancestry controls, 62 Hispanic cases, 658 Hispanic controls	NA	6p21.33	6	31008442	MUC21	MUC22			100507679			rs28360974-?	rs28360974	0	28360974	upstream_gene_variant	0	NR	3E-6	5.522878745280337	(Afro-Caribbean)	10.13	[3.85-26.67]	Illumina [2485249] (imputed)	N
2013-09-27	23551011	Zhao L	2013-04-02	Ann Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23551011	Genome-wide association study of pre-eclampsia detects novel maternal single nucleotide polymorphisms and copy-number variants in subsets of the Hyperglycemia and Adverse Pregnancy Outcome (HAPO) study cohort.	Preeclampsia	21 Afro-Caribbean cases, 1,010 Afro-Caribbean controls, 50 European ancestry cases, 1,202 European ancestry controls, 62 Hispanic cases, 658 Hispanic controls	NA	10p12.1	10	28738294	BAMBI	LOC107984170 - LINC01517	107984170	101929218		11466	5356	rs1248993-?	rs1248993	0	1248993	regulatory_region_variant	1	NR	6E-6	5.221848749616356	(Afro-Caribbean)	4.27	[2.28-8.01]	Illumina [2485249] (imputed)	N
2013-09-27	23551011	Zhao L	2013-04-02	Ann Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23551011	Genome-wide association study of pre-eclampsia detects novel maternal single nucleotide polymorphisms and copy-number variants in subsets of the Hyperglycemia and Adverse Pregnancy Outcome (HAPO) study cohort.	Preeclampsia	21 Afro-Caribbean cases, 1,010 Afro-Caribbean controls, 50 European ancestry cases, 1,202 European ancestry controls, 62 Hispanic cases, 658 Hispanic controls	NA	7p15.2	7	25573041	NPVF	LOC105375196 - LOC646588	105375196	646588		76300	20260	rs975369-?	rs975369	0	975369	intergenic_variant	1	NR	8E-6	5.096910013008056	(Afro-Caribbean)	4.55	[2.34-8.83]	Illumina [2485249] (imputed)	N
2013-09-27	23551011	Zhao L	2013-04-02	Ann Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23551011	Genome-wide association study of pre-eclampsia detects novel maternal single nucleotide polymorphisms and copy-number variants in subsets of the Hyperglycemia and Adverse Pregnancy Outcome (HAPO) study cohort.	Preeclampsia	21 Afro-Caribbean cases, 1,010 Afro-Caribbean controls, 50 European ancestry cases, 1,202 European ancestry controls, 62 Hispanic cases, 658 Hispanic controls	NA	20p13	20	4234910	ADRA1D	ADRA1D			146			rs1556832-?	rs1556832	0	1556832	intron_variant	0	NR	9E-6	5.045757490560675	(Afro-Caribbean)	4.33	[2.27-8.27]	Illumina [2485249] (imputed)	N
