DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2008-06-16	17653210	Maeda S	2007-08-01	Kidney Int Suppl	www.ncbi.nlm.nih.gov/pubmed/17653210	Genetic variations associated with diabetic nephropathy and type II diabetes in a Japanese population.	Type 2 diabetes nephropathy	94 Japanese ancestry cases, 94 Japanese ancestry controls	NA	7p14.2	7	36878390	ELMO1	ELMO1			9844			rs741301-?	rs741301	0	741301	intron_variant	0	NR	8E-6	5.096910013008056		2.67	[1.71-4.16]	NR [~ 80000]	N
2012-08-07	22693455	Perry JR	2012-05-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/22693455	Stratifying type 2 diabetes cases by BMI identifies genetic risk variants in LAMA1 and enrichment for risk variants in lean compared to obese cases.	Type 2 diabetes	2,112 lean type 2 diabetes cases, 4,123 obese type 2 diabetes cases, 54,412 controls	2,881 lean type 2 diabetes cases, 8,702 obese type 2 diabetes cases, 18,957 controls	6p21.32	6	32717773	HLA-DQA2	MTCO3P1 - LOC102725019	404026	102725019		10970	394	rs3916765-A	rs3916765	0	3916765	upstream_gene_variant	1	0.12	1E-6	6.0	(Lean)	1.21	[1.12-1.31]	NR [NR]	N
2012-08-07	22693455	Perry JR	2012-05-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/22693455	Stratifying type 2 diabetes cases by BMI identifies genetic risk variants in LAMA1 and enrichment for risk variants in lean compared to obese cases.	Type 2 diabetes	2,112 lean type 2 diabetes cases, 4,123 obese type 2 diabetes cases, 54,412 controls	2,881 lean type 2 diabetes cases, 8,702 obese type 2 diabetes cases, 18,957 controls	18p11.31	18	7068463	LAMA1	LAMA1			284217			rs8090011-G	rs8090011	0	8090011	intron_variant	0	0.38	8E-9	8.096910013008056	(Lean)	1.13	[1.09-1.18]	NR [NR]	N
2012-08-07	22693455	Perry JR	2012-05-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/22693455	Stratifying type 2 diabetes cases by BMI identifies genetic risk variants in LAMA1 and enrichment for risk variants in lean compared to obese cases.	Type 2 diabetes	2,112 lean type 2 diabetes cases, 4,123 obese type 2 diabetes cases, 54,412 controls	2,881 lean type 2 diabetes cases, 8,702 obese type 2 diabetes cases, 18,957 controls	15q24.3	15	77454848	HMG20A	HMG20A			10363			rs7178572-G	rs7178572	0	7178572	intron_variant	0	0.70	1E-8	8.0	(Obese)	1.11	[1.07-1.15]	NR [NR]	N
2012-08-07	22693455	Perry JR	2012-05-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/22693455	Stratifying type 2 diabetes cases by BMI identifies genetic risk variants in LAMA1 and enrichment for risk variants in lean compared to obese cases.	Type 2 diabetes	2,112 lean type 2 diabetes cases, 4,123 obese type 2 diabetes cases, 54,412 controls	2,881 lean type 2 diabetes cases, 8,702 obese type 2 diabetes cases, 18,957 controls	10q25.2	10	112998590	TCF7L2	TCF7L2			6934			rs7903146-T	rs7903146	0	7903146	intron_variant	0	0.29	2E-40	39.69897000433602	(Lean)	1.58	[1.47-1.68]	NR [NR]	N
2012-08-07	22693455	Perry JR	2012-05-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/22693455	Stratifying type 2 diabetes cases by BMI identifies genetic risk variants in LAMA1 and enrichment for risk variants in lean compared to obese cases.	Type 2 diabetes	2,112 lean type 2 diabetes cases, 4,123 obese type 2 diabetes cases, 54,412 controls	2,881 lean type 2 diabetes cases, 8,702 obese type 2 diabetes cases, 18,957 controls	6p22.3	6	20686342	CDKAL1	CDKAL1			54901			rs7766070-A	rs7766070	0	7766070	intron_variant	0	0.27	7E-10	9.154901959985743	(Lean)	1.26	[1.17-1.35]	NR [NR]	N
2012-08-07	22693455	Perry JR	2012-05-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/22693455	Stratifying type 2 diabetes cases by BMI identifies genetic risk variants in LAMA1 and enrichment for risk variants in lean compared to obese cases.	Type 2 diabetes	2,112 lean type 2 diabetes cases, 4,123 obese type 2 diabetes cases, 54,412 controls	2,881 lean type 2 diabetes cases, 8,702 obese type 2 diabetes cases, 18,957 controls	8q24.11	8	117172786	SLC30A8	SLC30A8, LOC105375716			169026, 105375716			rs3802177-G	rs3802177	0	3802177	3_prime_UTR_variant	0	0.68	4E-8	7.3979400086720375	(Lean)	1.23	[1.15-1.33]	NR [NR]	N
2012-08-07	22693455	Perry JR	2012-05-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/22693455	Stratifying type 2 diabetes cases by BMI identifies genetic risk variants in LAMA1 and enrichment for risk variants in lean compared to obese cases.	Type 2 diabetes	2,112 lean type 2 diabetes cases, 4,123 obese type 2 diabetes cases, 54,412 controls	2,881 lean type 2 diabetes cases, 8,702 obese type 2 diabetes cases, 18,957 controls	3q21.1	3	123346931	ADCY5	ADCY5			111			rs11708067-A	rs11708067	0	11708067	intron_variant	0	0.78	6E-8	7.221848749616356	(Lean)	1.25	[1.15-1.35]	NR [NR]	N
2012-08-07	22693455	Perry JR	2012-05-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/22693455	Stratifying type 2 diabetes cases by BMI identifies genetic risk variants in LAMA1 and enrichment for risk variants in lean compared to obese cases.	Type 2 diabetes	2,112 lean type 2 diabetes cases, 4,123 obese type 2 diabetes cases, 54,412 controls	2,881 lean type 2 diabetes cases, 8,702 obese type 2 diabetes cases, 18,957 controls	10q25.2	10	112998590	TCF7L2	TCF7L2			6934			rs7903146-T	rs7903146	0	7903146	intron_variant	0	0.29	4E-21	20.397940008672037	(Obese)	1.26	[1.20 - 1.32]	NR [NR]	N
2012-08-07	22693455	Perry JR	2012-05-31	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/22693455	Stratifying type 2 diabetes cases by BMI identifies genetic risk variants in LAMA1 and enrichment for risk variants in lean compared to obese cases.	Type 2 diabetes	2,112 lean type 2 diabetes cases, 4,123 obese type 2 diabetes cases, 54,412 controls	2,881 lean type 2 diabetes cases, 8,702 obese type 2 diabetes cases, 18,957 controls	16q12.2	16	53786615	FTO	FTO			79068			rs9939609-A	rs9939609	0	9939609	intron_variant	0	0.40	1E-20	20.0	(Obese)	1.25	[1.19-1.30]	NR [NR]	N
