DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2008-09-15	17975299	Webster JA	2007-11-01	Neurodegener Dis	www.ncbi.nlm.nih.gov/pubmed/17975299	Sorl1 as an Alzheimer's disease predisposition gene?	Alzheimer's disease	664 cases, 422 controls	NA	19q13.32	19	44919689	APOE	APOC1 - APOC1P1	341	342		340	7114	rs4420638-?	rs4420638	0	4420638	downstream_gene_variant	1	NR	1E-39	39				Affymetrix [~ 502627]	N
2009-09-28	17998437	Li H	2007-11-12	Arch Neurol	www.ncbi.nlm.nih.gov/pubmed/17998437	Candidate single-nucleotide polymorphisms from a genomewide association study of Alzheimer disease.	Alzheimer's disease	753 European ancestry cases, 736 European ancestry controls	418 European ancestry cases, 249 European ancestry controls	19q13.32	19	44919689	APOE, APOC1	APOC1 - APOC1P1	341	342		340	7114	rs4420638-?	rs4420638	0	4420638	downstream_gene_variant	1	NR	2E-44	43.698970004336				Affymetrix [469438]	N
2008-11-12	18823527	Abraham R	2008-09-29	BMC Med Genomics	www.ncbi.nlm.nih.gov/pubmed/18823527	A genome-wide association study for late-onset Alzheimer's disease using DNA pooling.	Alzheimer's disease	1,082 European ancestry cases, 1,239 European ancestry controls	1,400 controls	4q32.1	4	154733269	intergenic	NDUFB2P1 - LRAT	107075208	9227		8389	7572	rs727153-C	rs727153	0	727153	intron_variant	1	0.52	3E-06	5.52287874528034		1.63	[1.37-1.95]	Illumina [561494]	N
2008-11-12	18823527	Abraham R	2008-09-29	BMC Med Genomics	www.ncbi.nlm.nih.gov/pubmed/18823527	A genome-wide association study for late-onset Alzheimer's disease using DNA pooling.	Alzheimer's disease	1,082 European ancestry cases, 1,239 European ancestry controls	1,400 controls	19q13.32	19	44878777	APOE, PVRL2, TOMM40	PVRL2			5819			rs6859-A	rs6859	0	6859	3_prime_UTR_variant	0	NR	6E-14	13.2218487496164				Illumina [561494]	N
2008-12-09	18976728	Bertram L	2008-10-29	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/18976728	Genome-wide association analysis reveals putative Alzheimer's disease susceptibility loci in addition to APOE.	Alzheimer's disease	941 European ancestry cases and 404 European ancestry controls from 410 families	1,767 European ancestry cases and 838 European ancestry controls from 875 families	14q31.2	14	84308865	intergenic	LOC105370603 - RNU6-976P	105370603	106481488		9849	431077	rs11159647-?	rs11159647	0	11159647	intergenic_variant	1	NR	2E-06	5.69897000433602				Affymetrix [484522]	N
2008-12-09	18976728	Bertram L	2008-10-29	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/18976728	Genome-wide association analysis reveals putative Alzheimer's disease susceptibility loci in addition to APOE.	Alzheimer's disease	941 European ancestry cases and 404 European ancestry controls from 410 families	1,767 European ancestry cases and 838 European ancestry controls from 875 families	19q13.41	19	51223357	CD33	CD33			945			rs3826656-?	rs3826656	0	3826656	upstream_gene_variant	0	NR	6E-06	5.22184874961636				Affymetrix [484522]	N
2009-02-27	19136949	Carrasquillo MM	2009-01-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19136949	Genetic variation in PCDH11X is associated with susceptibility to late-onset Alzheimer's disease.	Alzheimer's disease	844 European ancestry cases, 1,255 European ancestry controls	1,547 European ancestry cases, 1,209 European ancestry controls	Xq21.31	X	92147221	PCDH11X	PCDH11X			27328			rs2573905-?	rs2573905	0	2573905	intron_variant	0	0.46	2E-07	6.69897000433602		1.29	[1.17-1.42]	Illumina [313504]	N
2009-02-25	19125160	Feulner TM	2009-01-07	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/19125160	Examination of the current top candidate genes for AD in a genome-wide association study.	Alzheimer's disease	491 European ancestry cases, 479 European ancestry controls	NA	19q13.32	19	44892009	APOE, TOMM40	TOMM40			10452			rs157580-?	rs157580	0	157580	intron_variant	0	NR	1E-40	40				Illumina [~ 550000]	N
2009-01-21	19118814	Beecham GW	2009-01-03	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/19118814	Genome-wide association study implicates a chromosome 12 risk locus for late-onset Alzheimer disease.	Alzheimer's disease	492 European ancestry cases, 496 European ancestry controls	238 European ancestry cases, 220 European ancestry controls	12q13.11	12	47245743	FAM113B	LOC105369746			105369746			rs11610206-?	rs11610206	0	11610206	intron_variant	0	NR	3E-07	6.52287874528034				Illumina [~ 2500000] (imputed)	N
2009-01-21	19118814	Beecham GW	2009-01-03	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/19118814	Genome-wide association study implicates a chromosome 12 risk locus for late-onset Alzheimer disease.	Alzheimer's disease	492 European ancestry cases, 496 European ancestry controls	238 European ancestry cases, 220 European ancestry controls	1q42.2	1	231708601	DISC1	TSNAX-DISC1, DISC1			100303453, 27185			rs12044355-?	rs12044355	0	12044355	intron_variant	0	NR	9E-06	5.04575749056068				Illumina [~ 2500000] (imputed)	N
