DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2012-03-14	22331829	Chasman DI	2012-02-13	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/22331829	Genetic determinants of statin-induced low-density lipoprotein cholesterol reduction: the Justification for the Use of Statins in Prevention: an Intervention Trial Evaluating Rosuvastatin (JUPITER) trial.	Response to statins (LDL cholesterol change)	6,989 European ancestry individuals	NA	1p32.3	1	55039974	PCSK9	PCSK9			255738			rs11591147-?	rs11591147	0	11591147	missense_variant	0	NR	5E-9	8.301029995663981	(baseline LDL-C)	5.0	[3.43-6.57] mg/dL decrease	Illumina [814418]	N
2012-03-14	22331829	Chasman DI	2012-02-13	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/22331829	Genetic determinants of statin-induced low-density lipoprotein cholesterol reduction: the Justification for the Use of Statins in Prevention: an Intervention Trial Evaluating Rosuvastatin (JUPITER) trial.	Response to statins (LDL cholesterol change)	6,989 European ancestry individuals	NA	4q22.1	4	88117930	ABCG2	ABCG2			9429			rs1481012-?	rs1481012	0	1481012	intron_variant	0	NR	2E-15	14.698970004336019	(fractional LDL-C reduction)	5.1	[3.34-6.86] % decrease	Illumina [814418]	N
2012-03-14	22331829	Chasman DI	2012-02-13	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/22331829	Genetic determinants of statin-induced low-density lipoprotein cholesterol reduction: the Justification for the Use of Statins in Prevention: an Intervention Trial Evaluating Rosuvastatin (JUPITER) trial.	Response to statins (LDL cholesterol change)	6,989 European ancestry individuals	NA	6q25.3	6	160589086	LPA	LPA			4018			rs10455872-?	rs10455872	0	10455872	intron_variant	0	NR	5E-15	14.301029995663981	(fractional LDL-C reduction)	6.8	[4.45-9.15] % increase	Illumina [814418]	N
2012-03-14	22331829	Chasman DI	2012-02-13	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/22331829	Genetic determinants of statin-induced low-density lipoprotein cholesterol reduction: the Justification for the Use of Statins in Prevention: an Intervention Trial Evaluating Rosuvastatin (JUPITER) trial.	Response to statins (LDL cholesterol change)	6,989 European ancestry individuals	NA	19q13.32	19	44908822	APOE	APOE			348			rs7412-?	rs7412	0	7412	missense_variant	0	NR	2E-47	46.69897000433602	(baseline LDL-C)	6.2	[5.42-6.98] mg/dL decrease	Illumina [814418]	N
2012-03-14	22331829	Chasman DI	2012-02-13	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/22331829	Genetic determinants of statin-induced low-density lipoprotein cholesterol reduction: the Justification for the Use of Statins in Prevention: an Intervention Trial Evaluating Rosuvastatin (JUPITER) trial.	Response to statins (LDL cholesterol change)	6,989 European ancestry individuals	NA	6p22.3	6	16161194	MYLIP, GMPR, IDOL	LOC100131159			100131159			rs6924995-?	rs6924995	0	6924995	non_coding_transcript_exon_variant	0	NR	5E-7	6.301029995663981	(absolute LDL-C reduction)	4.1	[2.73-5.47] mg/dL increase	Illumina [814418]	N
2012-03-14	22331829	Chasman DI	2012-02-13	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/22331829	Genetic determinants of statin-induced low-density lipoprotein cholesterol reduction: the Justification for the Use of Statins in Prevention: an Intervention Trial Evaluating Rosuvastatin (JUPITER) trial.	Response to statins (LDL cholesterol change)	6,989 European ancestry individuals	NA	6q23.2	6	130935224	EPB41L2	EPB41L2			2037			rs7769153-?	rs7769153	0	7769153	intron_variant	0	NR	2E-7	6.698970004336019	(fractional LDL-C reduction)	10.3	[6.77-13.83] % increase	Illumina [814418]	N
2012-03-14	22331829	Chasman DI	2012-02-13	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/22331829	Genetic determinants of statin-induced low-density lipoprotein cholesterol reduction: the Justification for the Use of Statins in Prevention: an Intervention Trial Evaluating Rosuvastatin (JUPITER) trial.	Response to statins (LDL cholesterol change)	6,989 European ancestry individuals	NA	9q22.1	9	88925144	S1PR3, SHC3, C9orf47	MIR4289 - PCNPP2	100423015	100128911		179239	45665	rs1875620-?	rs1875620	0	1875620	intergenic_variant	1	NR	7E-7	6.154901959985743	(absolute LDL-C reduction)	2.8	[1.62-3.98] mg/dL increase	Illumina [814418]	N
2012-03-14	22331829	Chasman DI	2012-02-13	Circ Cardiovasc Genet	www.ncbi.nlm.nih.gov/pubmed/22331829	Genetic determinants of statin-induced low-density lipoprotein cholesterol reduction: the Justification for the Use of Statins in Prevention: an Intervention Trial Evaluating Rosuvastatin (JUPITER) trial.	Response to statins (LDL cholesterol change)	6,989 European ancestry individuals	NA	19p12	19	22431320	LOC342994, ZNF98	ZNF98 - BNIP3P32	148198	106480283		8692	16614	rs931608-?	rs931608	0	931608	intron_variant	1	NR	3E-7	6.522878745280337	(absolute LDL-C reduction)	4.2	[2.44-5.96] mg/dL increase	Illumina [814418]	N
2016-12-20	27002377	Irvin MR	2016-07-01	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27002377	A genome-wide study of lipid response to fenofibrate in Caucasians: a combined analysis of the GOLDN and ACCORD studies.	Response to fenofibrate (LDL cholesterol levels)	1,594 European ancestry individuals	350 Hispanic individuals, 138 African American individuals				AEBP2, LOC100506393							chr12:19956384-?	chr12:19956384	0			1	NR	7E-7	6.154901959985743	(European)	0.04454	[0.024-0.065] unit decrease	Affymetrix [6982258] (imputed)	N
2016-12-20	27002377	Irvin MR	2016-07-01	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27002377	A genome-wide study of lipid response to fenofibrate in Caucasians: a combined analysis of the GOLDN and ACCORD studies.	Response to fenofibrate (LDL cholesterol levels)	1,594 European ancestry individuals	350 Hispanic individuals, 138 African American individuals				APOC1							chr19:45422160-?	chr19:45422160	0			1	NR	1E-6	6.0	(European)	0.07956	[0.038-0.121] unit increase	Affymetrix [6982258] (imputed)	N
