subject	subject_label	subject_taxon	subject_taxon_label	object	object_label	relation	relation_label	evidence	evidence_label	source	is_defined_by	qualifier
MGI:1891340	Lpin1	NCBITaxon:10090	Mus musculus	MP:0003982	increased cholesterol level	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:2050689	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:893578	Scarb1	NCBITaxon:10090	Mus musculus	HP:0003141	Increased circulating low-density lipoprotein levels	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:15342683	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:1336167	Prkab1	NCBITaxon:10090	Mus musculus	MP:0000183	decreased circulating LDL cholesterol level	RO:0002200	has phenotype	ECO:0000059|ECO:0000015	experimental phenotypic evidence|mutant phenotype evidence		https://data.monarchinitiative.org/ttl/impc.ttl|https://data.monarchinitiative.org/ttl/mgi_slim.ttl|https://data.monarchinitiative.org/ttl/mgi.ttl	direct
MGI:1096381	Arntl	NCBITaxon:10090	Mus musculus	HP:0003233	Decreased circulating high-density lipoprotein levels	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:21966465	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:8002	NRL	NCBITaxon:9606	Homo sapiens	HP:0008181	Abetalipoproteinemia	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:252473|PMID:2448510|PMID:11198137|PMID:6472810|PMID:10424146	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
MGI:1096391	Nrxn1	NCBITaxon:10090	Mus musculus	HP:0003233	Decreased circulating high-density lipoprotein levels	RO:0002200	has phenotype	ECO:0000059|ECO:0000015	experimental phenotypic evidence|mutant phenotype evidence		https://data.monarchinitiative.org/ttl/impc.ttl|https://data.monarchinitiative.org/ttl/mgi_slim.ttl|https://data.monarchinitiative.org/ttl/mgi.ttl	direct
MGI:99607	Abca1	NCBITaxon:10090	Mus musculus	HP:0003233	Decreased circulating high-density lipoprotein levels	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:10760292|PMID:10980140|PMID:16543947|PMID:11266384|PMID:10655069|PMID:16691213|PMID:15841208|PMID:18974039	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:1915889	Smyd2	NCBITaxon:10090	Mus musculus	HP:0003141	Increased circulating low-density lipoprotein levels	RO:0002200	has phenotype	ECO:0000015|ECO:0000059	experimental phenotypic evidence|mutant phenotype evidence		https://data.monarchinitiative.org/ttl/impc.ttl|https://data.monarchinitiative.org/ttl/mgi_slim.ttl|https://data.monarchinitiative.org/ttl/mgi.ttl	direct
MGI:95872	Gusb	NCBITaxon:10090	Mus musculus	HP:0003146	Hypocholesterolemia	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence		https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:7974	NR2E3	NCBITaxon:9606	Homo sapiens	HP:0008181	Abetalipoproteinemia	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:252473|PMID:2448510|PMID:11198137|PMID:6472810|PMID:10424146	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
MGI:98285	Srsf3	NCBITaxon:10090	Mus musculus	HP:0003233	Decreased circulating high-density lipoprotein levels	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:23299886	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:2685494	Gm648	NCBITaxon:10090	Mus musculus	HP:0012184	Increased circulating high-density lipoprotein levels	RO:0002200	has phenotype	ECO:0000059|ECO:0000015	experimental phenotypic evidence|mutant phenotype evidence		https://data.monarchinitiative.org/ttl/impc.ttl|https://data.monarchinitiative.org/ttl/mgi_slim.ttl|https://data.monarchinitiative.org/ttl/mgi.ttl	direct
MGI:2678714	Hlb295	NCBITaxon:10090	Mus musculus	HP:0003233	Decreased circulating high-density lipoprotein levels	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence		https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:99607	Abca1	NCBITaxon:10090	Mus musculus	MP:0003192	increased cholesterol efflux	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:17992262	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:1916625	Btbd9	NCBITaxon:10090	Mus musculus	HP:0003124	Hypercholesterolemia	RO:0002200	has phenotype	ECO:0000059|ECO:0000015	experimental phenotypic evidence|mutant phenotype evidence		https://data.monarchinitiative.org/ttl/impc.ttl|https://data.monarchinitiative.org/ttl/mgi_slim.ttl|https://data.monarchinitiative.org/ttl/mgi.ttl	direct
MGI:1270854	Gck	NCBITaxon:10090	Mus musculus	MP:0000180	abnormal circulating cholesterol level	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:7553875	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:3619343	Mir33	NCBITaxon:10090	Mus musculus	HP:0003464	Abnormal cholesterol homeostasis	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:20855588	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:2156764	Stard4	NCBITaxon:10090	Mus musculus	HP:0003146	Hypocholesterolemia	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:19965609	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:1931838	Dbn1	NCBITaxon:10090	Mus musculus	MP:0000183	decreased circulating LDL cholesterol level	RO:0002200	has phenotype	ECO:0000059|ECO:0000015	experimental phenotypic evidence|mutant phenotype evidence		https://data.monarchinitiative.org/ttl/impc.ttl|https://data.monarchinitiative.org/ttl/mgi_slim.ttl|https://data.monarchinitiative.org/ttl/mgi.ttl	direct
MGI:1931838	Dbn1	NCBITaxon:10090	Mus musculus	HP:0003233	Decreased circulating high-density lipoprotein levels	RO:0002200	has phenotype	ECO:0000059|ECO:0000015	experimental phenotypic evidence|mutant phenotype evidence		https://data.monarchinitiative.org/ttl/impc.ttl|https://data.monarchinitiative.org/ttl/mgi_slim.ttl|https://data.monarchinitiative.org/ttl/mgi.ttl	direct
MGI:1195264	Slc3a1	NCBITaxon:10090	Mus musculus	HP:0003124	Hypercholesterolemia	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:12923163	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:8786	PDE6B	NCBITaxon:9606	Homo sapiens	HP:0008181	Abetalipoproteinemia	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:22334370|PMID:25097241|PMID:252473|PMID:8394174|PMID:2448510|PMID:6472810|PMID:11198137|PMID:26497376|PMID:10424146|PMID:20591486|PMID:7724547|PMID:25823529	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
MGI:1321385	Entpd5	NCBITaxon:10090	Mus musculus	MP:0003983	decreased cholesterol level	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:19176496	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
MGI:97496	Pbx3	NCBITaxon:10090	Mus musculus	HP:0003146	Hypocholesterolemia	RO:0002200	has phenotype	ECO:0000059|ECO:0000015	experimental phenotypic evidence|mutant phenotype evidence		https://data.monarchinitiative.org/ttl/impc.ttl|https://data.monarchinitiative.org/ttl/mgi_slim.ttl|https://data.monarchinitiative.org/ttl/mgi.ttl	direct
HGNC:30078	REEP6	NCBITaxon:9606	Homo sapiens	HP:0008181	Abetalipoproteinemia	RO:0002200	has phenotype	ECO:0000246|ECO:0000322	imported manually asserted information used in automatic assertion|computational combinatorial evidence used in automatic assertion	PMID:252473|PMID:2448510|PMID:11198137|PMID:6472810|PMID:10424146	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/orphanet.ttl	inferred through variant
MGI:1352466	Nr2c2	NCBITaxon:10090	Mus musculus	HP:0003146	Hypocholesterolemia	RO:0002200	has phenotype	ECO:0000059	experimental phenotypic evidence	PMID:20864514	https://data.monarchinitiative.org/ttl/mgi_slim.ttl	direct
HGNC:40079	APOA1-AS	NCBITaxon:9606	Homo sapiens	HP:0003146	Hypocholesterolemia	RO:0002200	has phenotype	ECO:0000304|ECO:0000246	computational combinatorial evidence used in automatic assertion|traceable author statement used in manual assertion	PMID:9567269|PMID:22959828|PMID:8282791|PMID:3105587|PMID:22913675|PMID:6443624	https://data.monarchinitiative.org/ttl/hpoa.ttl|https://data.monarchinitiative.org/ttl/clinvar.ttl	inferred through variant
MGI:1918711	Ptk7	NCBITaxon:10090	Mus musculus	HP:0003146	Hypocholesterolemia	RO:0002200	has phenotype	ECO:0000015	mutant phenotype evidence		https://data.monarchinitiative.org/ttl/impc.ttl|https://data.monarchinitiative.org/ttl/mgi.ttl	inferred
