DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2016-12-20	27002377	Irvin MR	2016-07-01	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27002377	A genome-wide study of lipid response to fenofibrate in Caucasians: a combined analysis of the GOLDN and ACCORD studies.	Response to fenofibrate (HDL cholesterol levels)	1,594 European ancestry individuals	350 Hispanic individuals, 138 African American individuals				AP4E1							chr15:51235835-?	chr15:51235835	0			1	NR	5E-7	6.301029995663981	(European)	0.06143	[0.036-0.087] unit decrease	Affymetrix [6982258] (imputed)	N
2016-12-20	27002377	Irvin MR	2016-07-01	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27002377	A genome-wide study of lipid response to fenofibrate in Caucasians: a combined analysis of the GOLDN and ACCORD studies.	Response to fenofibrate (HDL cholesterol levels)	1,594 European ancestry individuals	350 Hispanic individuals, 138 African American individuals				BNC2, CNTLN							chr9:16979194-?	chr9:16979194	0			1	NR	9E-6	5.045757490560675	(European)	0.02482	[-0.00078-0.05042] unit decrease	Affymetrix [6982258] (imputed)	N
2016-12-20	27002377	Irvin MR	2016-07-01	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27002377	A genome-wide study of lipid response to fenofibrate in Caucasians: a combined analysis of the GOLDN and ACCORD studies.	Response to fenofibrate (HDL cholesterol levels)	1,594 European ancestry individuals	350 Hispanic individuals, 138 African American individuals				DUSP16, CREBL2							chr12:12727200-?	chr12:12727200	0			1	NR	9E-6	5.045757490560675	(European)	0.0487	[0.028-0.069] unit increase	Affymetrix [6982258] (imputed)	N
2016-12-20	27002377	Irvin MR	2016-07-01	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27002377	A genome-wide study of lipid response to fenofibrate in Caucasians: a combined analysis of the GOLDN and ACCORD studies.	Response to fenofibrate (HDL cholesterol levels)	1,594 European ancestry individuals	350 Hispanic individuals, 138 African American individuals				HFM1, CDC7							chr1:91944137-?	chr1:91944137	0			1	NR	3E-6	5.522878745280337	(European)	0.03538	[0.0092-0.0615] unit decrease	Affymetrix [6982258] (imputed)	N
2016-12-20	27002377	Irvin MR	2016-07-01	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27002377	A genome-wide study of lipid response to fenofibrate in Caucasians: a combined analysis of the GOLDN and ACCORD studies.	Response to fenofibrate (HDL cholesterol levels)	1,594 European ancestry individuals	350 Hispanic individuals, 138 African American individuals				HIBADH							chr7:27614112-?	chr7:27614112	0			1	NR	3E-6	5.522878745280337	(European)	0.01886	[0.0045-0.0332] unit decrease	Affymetrix [6982258] (imputed)	N
2016-12-20	27002377	Irvin MR	2016-07-01	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27002377	A genome-wide study of lipid response to fenofibrate in Caucasians: a combined analysis of the GOLDN and ACCORD studies.	Response to fenofibrate (HDL cholesterol levels)	1,594 European ancestry individuals	350 Hispanic individuals, 138 African American individuals				LINC00348, DACH1							chr13:71763633-?	chr13:71763633	0			1	NR	6E-6	5.221848749616356	(European)	0.02145	[0.00032-0.04258] unit decrease	Affymetrix [6982258] (imputed)	N
2016-12-20	27002377	Irvin MR	2016-07-01	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27002377	A genome-wide study of lipid response to fenofibrate in Caucasians: a combined analysis of the GOLDN and ACCORD studies.	Response to fenofibrate (HDL cholesterol levels)	1,594 European ancestry individuals	350 Hispanic individuals, 138 African American individuals				LMO1, STK33							chr11:8398757-?	chr11:8398757	0			1	NR	2E-6	5.698970004336019	(European)	0.05053	[0.024-0.077] unit decrease	Affymetrix [6982258] (imputed)	N
2016-12-20	27002377	Irvin MR	2016-07-01	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27002377	A genome-wide study of lipid response to fenofibrate in Caucasians: a combined analysis of the GOLDN and ACCORD studies.	Response to fenofibrate (HDL cholesterol levels)	1,594 European ancestry individuals	350 Hispanic individuals, 138 African American individuals				NONE, LPHN2							chr1:81874455-?	chr1:81874455	0			1	NR	9E-6	5.045757490560675	(European)	0.03997	[0.013-0.067] unit decrease	Affymetrix [6982258] (imputed)	N
2016-12-20	27002377	Irvin MR	2016-07-01	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27002377	A genome-wide study of lipid response to fenofibrate in Caucasians: a combined analysis of the GOLDN and ACCORD studies.	Response to fenofibrate (HDL cholesterol levels)	1,594 European ancestry individuals	350 Hispanic individuals, 138 African American individuals				PITPNM3							chr17:6437220-?	chr17:6437220	0			1	NR	7E-6	5.154901959985743	(European)	0.04826	[0.02-0.076] unit decrease	Affymetrix [6982258] (imputed)	N
2016-12-20	27002377	Irvin MR	2016-07-01	Pharmacogenet Genomics	www.ncbi.nlm.nih.gov/pubmed/27002377	A genome-wide study of lipid response to fenofibrate in Caucasians: a combined analysis of the GOLDN and ACCORD studies.	Response to fenofibrate (HDL cholesterol levels)	1,594 European ancestry individuals	350 Hispanic individuals, 138 African American individuals				SATB1							chr3:18404279-?	chr3:18404279	0			1	NR	6E-6	5.221848749616356	(European)	0.04321	[0.021-0.066] unit increase	Affymetrix [6982258] (imputed)	N
