DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV
2008-06-16	17053108	Dewan A	2006-10-19	Science	www.ncbi.nlm.nih.gov/pubmed/17053108	HTRA1 promoter polymorphism in wet age-related macular degeneration.	Age-related macular degeneration (wet)	96 South East Asian ancestry cases, 130 South East Asian ancestry controls	NA	10q26.13	10	122461028	HTRA1	LOC105378525			105378525			rs11200638-A	rs11200638	0	11200638	upstream_gene_variant	0	NR	8E-12	11.096910013008056		1.6	[0.71-3.61]	Affymetrix [97824]	N
2008-06-16	15761122	Klein RJ	2005-03-10	Science	www.ncbi.nlm.nih.gov/pubmed/15761122	Complement factor H polymorphism in age-related macular degeneration.	Age-related macular degeneration	96 European ancestry cases, 50 European ancestry controls	NA	1q31.3	1	196731921	CFH	CFH			3075			rs380390-C	rs380390	0	380390	intron_variant	0	0.70 (HapMap CEU)	4E-8	7.3979400086720375		4.6	[2.0-11]	Affymetrix [103611]	N
2010-10-14	20861866	Kopplin LJ	2010-09-23	Genes Immun	www.ncbi.nlm.nih.gov/pubmed/20861866	Genome-wide association identifies SKIV2L and MYRIP as protective factors for age-related macular degeneration.	Age-related macular degeneration	684 European ancestry cases, 188 European ancestry controls	1,896 European ancestry cases, 1,866 European ancestry controls	1q31.3	1	196733680	CFH	CFH			3075			rs1329428-?	rs1329428	0	1329428	intron_variant	0	NR	3E-64	63.52287874528034		2.78	[NR]	Affymetrix [> 361556] (imputed)	N
2010-10-14	20861866	Kopplin LJ	2010-09-23	Genes Immun	www.ncbi.nlm.nih.gov/pubmed/20861866	Genome-wide association identifies SKIV2L and MYRIP as protective factors for age-related macular degeneration.	Age-related macular degeneration	684 European ancestry cases, 188 European ancestry controls	1,896 European ancestry cases, 1,866 European ancestry controls	10q26.13	10	122454932	ARMS2, HTRA1	LOC105378525, ARMS2			105378525, 387715			rs10490924-T	rs10490924	0	10490924	missense_variant	0	NR	1E-60	60.0		2.75	[NR]	Affymetrix [> 361556] (imputed)	N
2010-10-14	20861866	Kopplin LJ	2010-09-23	Genes Immun	www.ncbi.nlm.nih.gov/pubmed/20861866	Genome-wide association identifies SKIV2L and MYRIP as protective factors for age-related macular degeneration.	Age-related macular degeneration	684 European ancestry cases, 188 European ancestry controls	1,896 European ancestry cases, 1,866 European ancestry controls	19p13.3	19	6718376	C3, R102G	C3			718			rs2230199-C	rs2230199	0	2230199	missense_variant	0	NR	1E-8	8.0		1.44	[NR]	Affymetrix [> 361556] (imputed)	N
2011-06-29	21665990	Yu Y	2011-06-10	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/21665990	Common variants near FRK/COL10A1 and VEGFA are associated with advanced age-related macular degeneration.	Age-related macular degeneration	2,594 European ancestry cases, 4,134 European ancestry controls	5,640 European ancestry cases, 52,174 European ancestry controls	6q22.1	6	116065971	FRK, COL10A1	FRK			2444			rs1999930-?	rs1999930	0	1999930	intergenic_variant	0	0.70	1E-8	8.0		1.15	[NR]	Affymetrix [6036699] (imputed)	N
2011-06-29	21665990	Yu Y	2011-06-10	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/21665990	Common variants near FRK/COL10A1 and VEGFA are associated with advanced age-related macular degeneration.	Age-related macular degeneration	2,594 European ancestry cases, 4,134 European ancestry controls	5,640 European ancestry cases, 52,174 European ancestry controls	6p21.1	6	43860845	VEGFA	LOC107986598			107986598			rs4711751-T	rs4711751	0	4711751	intergenic_variant	0	0.50	9E-9	8.045757490560675		1.15	[NR]	Affymetrix [6036699] (imputed)	N
2011-06-29	21665990	Yu Y	2011-06-10	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/21665990	Common variants near FRK/COL10A1 and VEGFA are associated with advanced age-related macular degeneration.	Age-related macular degeneration	2,594 European ancestry cases, 4,134 European ancestry controls	5,640 European ancestry cases, 52,174 European ancestry controls	10q26.13	10	122454932	HTRA1	LOC105378525, ARMS2			105378525, 387715			rs10490924-T	rs10490924	0	10490924	missense_variant	0	0.21	4E-322	321.39794000867204		2.94	[NR]	Affymetrix [6036699] (imputed)	N
2011-06-29	21665990	Yu Y	2011-06-10	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/21665990	Common variants near FRK/COL10A1 and VEGFA are associated with advanced age-related macular degeneration.	Age-related macular degeneration	2,594 European ancestry cases, 4,134 European ancestry controls	5,640 European ancestry cases, 52,174 European ancestry controls	1q31.3	1	196690107	CFH	CFH			3075			rs1061170-C	rs1061170	0	1061170	missense_variant	0	0.37	1E-261	261.0		2.41	[NR]	Affymetrix [6036699] (imputed)	N
2011-06-29	21665990	Yu Y	2011-06-10	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/21665990	Common variants near FRK/COL10A1 and VEGFA are associated with advanced age-related macular degeneration.	Age-related macular degeneration	2,594 European ancestry cases, 4,134 European ancestry controls	5,640 European ancestry cases, 52,174 European ancestry controls	19p13.3	19	6718376	C3	C3			718			rs2230199-C	rs2230199	0	2230199	missense_variant	0	0.19	5E-29	28.30102999566398		1.53	[NR]	Affymetrix [6036699] (imputed)	N
2011-06-29	21665990	Yu Y	2011-06-10	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/21665990	Common variants near FRK/COL10A1 and VEGFA are associated with advanced age-related macular degeneration.	Age-related macular degeneration	2,594 European ancestry cases, 4,134 European ancestry controls	5,640 European ancestry cases, 52,174 European ancestry controls	22q12.3	22	32688525	TIMP3	SYN3			8224			rs9621532-?	rs9621532	0	9621532	intron_variant	0	0.95	2E-15	14.698970004336019		1.59	[NR]	Affymetrix [6036699] (imputed)	N
2011-06-29	21665990	Yu Y	2011-06-10	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/21665990	Common variants near FRK/COL10A1 and VEGFA are associated with advanced age-related macular degeneration.	Age-related macular degeneration	2,594 European ancestry cases, 4,134 European ancestry controls	5,640 European ancestry cases, 52,174 European ancestry controls	15q21.3	15	58386313	LIPC	LOC101928635			101928635			rs10468017-?	rs10468017	0	10468017	intron_variant	0	0.71	3E-12	11.522878745280337		1.19	[NR]	Affymetrix [6036699] (imputed)	N
2011-06-29	21665990	Yu Y	2011-06-10	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/21665990	Common variants near FRK/COL10A1 and VEGFA are associated with advanced age-related macular degeneration.	Age-related macular degeneration	2,594 European ancestry cases, 4,134 European ancestry controls	5,640 European ancestry cases, 52,174 European ancestry controls	4q25	4	109737911	CFI	CFI			3426			rs10033900-T	rs10033900	0	10033900	downstream_gene_variant	0	0.46	4E-10	9.397940008672037		1.18	[NR]	Affymetrix [6036699] (imputed)	N
2011-06-29	21665990	Yu Y	2011-06-10	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/21665990	Common variants near FRK/COL10A1 and VEGFA are associated with advanced age-related macular degeneration.	Age-related macular degeneration	2,594 European ancestry cases, 4,134 European ancestry controls	5,640 European ancestry cases, 52,174 European ancestry controls	16q13	16	56959412	CETP	HERPUD1 - CETP	9709	1071		15531	2511	rs3764261-A	rs3764261	0	3764261	upstream_gene_variant	1	0.33	7E-9	8.154901959985743		1.15	[NR]	Affymetrix [6036699] (imputed)	N
2010-05-06	20385826	Neale BM	2010-04-12	Proc Natl Acad Sci U S A	www.ncbi.nlm.nih.gov/pubmed/20385826	Genome-wide association study of advanced age-related macular degeneration identifies a role of the hepatic lipase gene (LIPC).	Age-related macular degeneration	979 cases, 1,709 controls	868 European ancestry cases, 410 European ancestry controls, 4,921 cases, 3,824 controls	15q21.3	15	58386313	LIPC	LOC101928635			101928635			rs10468017-?	rs10468017	0	10468017	intron_variant	0	0.70	1E-8	8.0		1.22	[1.14-1.30]	Affymetrix [632932]	N
2010-05-06	20385826	Neale BM	2010-04-12	Proc Natl Acad Sci U S A	www.ncbi.nlm.nih.gov/pubmed/20385826	Genome-wide association study of advanced age-related macular degeneration identifies a role of the hepatic lipase gene (LIPC).	Age-related macular degeneration	979 cases, 1,709 controls	868 European ancestry cases, 410 European ancestry controls, 4,921 cases, 3,824 controls	22q12.3	22	32688525	TIMP3	SYN3			8224			rs9621532-A	rs9621532	0	9621532	intron_variant	0	0.96	4E-9	8.397940008672037		1.61	[1.37-1.89]	Affymetrix [632932]	N
2010-05-06	20385826	Neale BM	2010-04-12	Proc Natl Acad Sci U S A	www.ncbi.nlm.nih.gov/pubmed/20385826	Genome-wide association study of advanced age-related macular degeneration identifies a role of the hepatic lipase gene (LIPC).	Age-related macular degeneration	979 cases, 1,709 controls	868 European ancestry cases, 410 European ancestry controls, 4,921 cases, 3,824 controls	15q21.3	15	58395681	intergenic	LOC101928635			101928635			rs493258-C	rs493258	0	493258	intron_variant	0	0.55	2E-8	7.698970004336019		1.16	[1.10-1.22]	Affymetrix [632932]	N
2010-05-06	20385826	Neale BM	2010-04-12	Proc Natl Acad Sci U S A	www.ncbi.nlm.nih.gov/pubmed/20385826	Genome-wide association study of advanced age-related macular degeneration identifies a role of the hepatic lipase gene (LIPC).	Age-related macular degeneration	979 cases, 1,709 controls	868 European ancestry cases, 410 European ancestry controls, 4,921 cases, 3,824 controls	6p24.3	6	7118757	RREB1	RREB1			6239			rs11755724-G	rs11755724	0	11755724	intron_variant	0	0.64	1E-6	6.0		1.15	[1.09-1.14]	Affymetrix [632932]	N
2010-05-06	20385826	Neale BM	2010-04-12	Proc Natl Acad Sci U S A	www.ncbi.nlm.nih.gov/pubmed/20385826	Genome-wide association study of advanced age-related macular degeneration identifies a role of the hepatic lipase gene (LIPC).	Age-related macular degeneration	979 cases, 1,709 controls	868 European ancestry cases, 410 European ancestry controls, 4,921 cases, 3,824 controls	3q12.1	3	99677428	COL8A1	COL8A1			1295			rs13095226-C	rs13095226	0	13095226	intron_variant	0	0.12	3E-6	5.522878745280337		1.24	[1.13-1.35]	Affymetrix [632932]	N
